7, Nachos, 11, Null
7, Fried Pickles (Veg), 8.5, Null
7, Chicken Tenders, 9.5, Null
7, Charcuterie, 16.5, Null
7, Wings (GF), 12, Null
7, Buffalo Chicken Tacos, 11, Null
7, Fried Bologna, 11, Null
7, Smoked Salmon BLT, 13, Null
7, Southern Fried Chicken, 11, Null
7, Tempeh Reuben, 11.5, Null
7, Bacon & Scallion, 10, Null
7, Beyond The Jelly, 15.5, Null
7, Sweet Pig, 16, Null
7, Fish and Chips, 15.5, Null
8, Bred(V), 8, Null
8, Egg(V), 7, Null
8, Banger, 13, Null
8, Octupus, 12, Null
8, Poutine, 11, Null
8, Romaine, 7, Null
8, Rockin Beef(V), 7, Null
8, Pot Pie, 21, Null
8, Burger, 15, Null
8, Rissoto(V), 17, Null
9, Garden Salad, 6.99, https://s3-media3.fl.yelpcdn.com/bphoto/u8IoXC7QafgSL67eStlbvQ/o.jpg
9, Greek Salad, 8.99, https://s3-media3.fl.yelpcdn.com/bphoto/YSrUF3kaCQdeJst_zg3Whg/o.jpg
9, Beef Kofta Kebab Plate, 10.99, https://s3-media3.fl.yelpcdn.com/bphoto/LYNrDyz4MdVypvP6XtTz0A/o.jpg
9, Chapli Kebab, 10.99, https://s3-media1.fl.yelpcdn.com/bphoto/uGcOSMRq-OwjcOm74q9ICw/o.jpg
9, Beef Gyro Pita Sandwich, 7.49, https://s3-media4.fl.yelpcdn.com/bphoto/806gXoQvbCBvti7JOkVIPQ/o.jpg
9, Chicken Gyro Pita Sandwich, 7.49, https://s3-media4.fl.yelpcdn.com/bphoto/jTlmCgcF_0utRgBGzoRjbQ/o.jpg
9, Falafel Pita Sandwich, 6.49, https://s3-media1.fl.yelpcdn.com/bphoto/F9rll-YPkopUVaYj1nD4IQ/o.jpg
9, Homemade Hummus, 4.99, Null
9, Homemade Tzatziki, 4.99, Null
9, Mixed Appetizer Plate, 11.99, Null
9, Tabbouleh Salad, 6.99, Null
9, Caesar Salad, 7.99, Null
10, V-special, 10.95
10, Bayou Plate, 13.95
10, Red Gumbo, 12.95
10, Chicken Half & Half, 9.95
10, Shrimp Half & Half, 10.95
10, Crawfish Half & Half, 13.95
10, Cajun Fried Catfish, 8.95
10, Blackened, 10.95
10, Smothered(with choice of etouffe), 12.95
10, Crawfish, 10.95
10, Smoked Chicken, 6.95
10, Grilled Shrimp, 8.95





------------------------------------------------
fiorella-rochester
the-gate-house-rochester
tapas-177-lounge-rochester-2
coco-garden-rochester-2
ox-and-stone-rochester-3
the-cub-room-rochester
cedar-mediterranean-restaurant-rochester
the-revelry-rochester
butapub-rochester
tsingtao-house-rochester
dinosaur-bar-b-que-rochester
sumo-japanese-sushi-and-hibachi-rochester-3
tai-chi-bubble-tea-rochester-2
mamma-gs-rochester
empanada-shop-rochester
the-penfield-pour-house-rochester
cocina-latina-rochester
south-wedge-sub-and-hots-rochester
texas-de-brazil-rochester
baccos-ristorante-rochester
american-burger-bar-and-beer-boutique-rochester
leaf-and-bean-rochester
rocco-rochester-2
roux-rochester
lento-restaurant-rochester
the-speakeasy-rochester
tavern58-at-gibbs-rochester
charley-browns-restaurant-rochester
as-evi-turkish-cuisine-rochester
itacate-rochester
blue-ridge-grill-rochester-2
han-noodle-bar-rochester
sodam-korean-restaurant-rochester
michaels-valley-grill-rochester
black-and-blue-steak-and-crab-rochester-2
d-mangu-restaurant-rochester
bernards-grove-rochester
bar-louie-rochester-3
the-daily-refresher-rochester
king-and-i-rochester
